"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"12/03/2024","11:34:46",3200805.00,"Jose           ","6x4dec032024   ","Point 023 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,44.468, 47.492,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,10.484, 12.152,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,34.562, 42.227,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.373, 18.466,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:50",3200805.00,"Jose           ","6x4dec032024   ","Point 024 / 172",0,17,"61             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,47.955, 51.217,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,14.095, 16.338,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,37.744, 46.114,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.568, 18.736,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:54",3200805.00,"Jose           ","6x4dec032024   ","Point 025 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,49.238, 52.587,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,14.941, 17.319,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,37.277, 45.544,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.791, 19.043,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:02",3200805.00,"Jose           ","6x4dec032024   ","Point 026 / 172",0,17,"60             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,42.349, 45.230,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.687, 13.546,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.227, 39.374,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.391, 19.873,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:07",3200805.00,"Jose           ","6x4dec032024   ","Point 027 / 172",0,17,"92             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,40.533, 43.290,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,10.853, 12.580,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,36.547, 44.651,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.553, 18.715,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:16",3200805.00,"Jose           ","6x4dec032024   ","Point 028 / 172",0,17,"62             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,37.291, 39.827,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.662, 13.518,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,28.221, 34.479,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.588, 18.763,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:23",3200805.00,"Jose           ","6x4dec032024   ","Point 029 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,45.328, 48.411,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.324, 13.126,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,37.823, 46.211,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.419, 19.911,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:28",3200805.00,"Jose           ","6x4dec032024   ","Point 030 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,42.646, 45.547,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.015, 15.086,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,34.658, 42.344,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.568, 18.736,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:40",3200805.00,"Jose           ","6x4dec032024   ","Point 031 / 172",0,17,"58             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,36.043, 38.494,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.152, 15.245,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,33.979, 41.514,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.764, 19.007,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:35:42",3200805.00,"Jose           ","6x4dec032024   ","Point 032 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,39.267, 41.938,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.350, 13.156,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,30.213, 36.913,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.877, 19.162,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
